Type,Encounter
Friendly Social,A wandering peddler offers you a look at his wares
Friendly Social,An old cleric is repairing a small shrine recently damaged by someone or something
Friendly Social,A wandering bard shares stories about the locals
Friendly Social,"A drunken giant is trying to mend a bridge he has broken, but is having trouble with the work"
Friendly Social,An old woman needs your help to get an unusual pet down from a tree
Friendly Social,A naked bard asks you for some spare clothes
Friendly Social,You find someone passed out and wounded
Friendly Social,Two drunk goliaths are wrestling any challengers
Friendly Social,A wizard asks if you can help him test a new spell
Friendly Social,Two groups of people need your help to settle a bet
Friendly Social,"You find a small child, lost and alone"
Friendly Social,Three dwarves challenge the biggest party member to a drinking competition
Friendly Social,Two clerics are arguing about who is the best god
Friendly Social,A hungry beggar offers you a secret for some food
Friendly Social,A guard is training some new recruits and asks you to help demonstrate a few moves
Friendly Social,A dying man asks you to help end his pain
Friendly Social,A silent monk offers you some food for a story
Friendly Social,A bard is trying to write a song but is having trouble with the words and asks you for advice
Friendly Social,A wagon has overturned and the owner needs help
Friendly Social,A kobold challenges you to a game of riddles
Friendly Social,"A herd of beastmen are currently stalking a traveler's cart on it's way to Middenland. There are 1d8+2 of them. Soon, they will attack the cart with flaming arrows. What they don't know is, the cart is full of oil. If one of the arrows hits the oil, it could mean a much more dangerous problem."
Friendly Social,"A bank shifting its assets via canal has run aground on one of the banks and is now spilling copious amounts (3d100) of silver shillings into the river. Several fisherman have set up nets further down the river, but in the distance the sound of Roadwarden's horses can be heard."
Friendly Social,"As you stray thru forest you hear a crying child in a distance. As You approach the origin of sound, you see a small child, around 7 years old. It's crying, crouching on plain site. As You come closer it runs away screaming, leading you to 3 corpses: a woman, a man and a Gor all dead laying near a fallen tree. The child stops and begins to cry again..."
Friendly Social,"You come across a huge pillar of rock, roughly rectangular in cross section, that has, judging by the state of the vegetation and earth around the base, very recently arrived here, apparently coming from above and piercing the ground. It appears far too large to be moved by man power alone. At one edge of the interface between earth and pillar you find an arm, apparently attached to a body that must be crushed beneath the bottom of the pillar. Even in death it still clutches a sealed scroll..."
Friendly Social,An ancient tree has been blown over in a recent storm. A skeleton tangled in its roots holds a chest with a very familiar symbol.
Skill Check,"A broken wagon blocks the way and must be repaired, overturned, or bypassed"
Skill Check,A rowdy mob that must be calmed or evaded before they turn on you or some other victim
Skill Check,"An overwhelmingly large pack of hungry, wild animals that must be outrun"
Skill Check,There is an unfamiliar split in the path and the correct direction must be determined
Skill Check,A glade of flesh-eating plants that must be escaped before they can paralyze you
Skill Check,A broken bridge across a ravine that must be fixed or overcome to progress
Skill Check,"A sudden, terrible storm that requires shelter to be found and constructed fast"
Skill Check,A band of highwaymen that must be intimidated or out-smarted before things turn ugly
Skill Check,A magical illusion blocks the way and must be disabled or bypassed to progress
Skill Check,Recent weather has destroyed some notable landmarks and the path must be rediscovered
Skill Check,"You find a positively desiccated skeletal corpse on the side of a well traveled path with an ornate looking dagger between its crumbling ribs. It is highly unusual that a corpse could remain untouched even near as long as it would take to induce this state of decay, yet is so fragile from age it is unlikely that it was placed there."
